# Error entre el valor analítico y el calculado para los métodos h2 y h4

# x	error h2	error h42
0	0.0016004267008013	1.70734944257292e-06
0.04	0.00147658431861128	1.60773082559518e-06
0.08	0.00136078097894538	1.51355153732435e-06
0.12	0.00125254576513392	1.42452829426931e-06
0.16	0.00115143354174996	1.34039205296199e-06
0.2	0.00105702360934262	1.26088731389196e-06
0.24	0.000968918426892229	1.18577145830079e-06
0.28	0.000886742398671425	1.11481411729786e-06
0.32	0.000810140722357078	1.04779656928677e-06
0.36	0.000738778295382769	9.84511170032398e-07
0.4	0.000672338676677486	9.24760806209068e-07
0.44	0.000610523101061577	8.68358376149292e-07
0.48	0.000553049543705442	8.15126300346414e-07
0.52	0.000499651832192971	7.64896043836671e-07
0.56	0.00045007880382214	7.175076781607e-07
0.6	0.000404093505927239	6.72809449320244e-07
0.64	0.000361472437079735	6.30657373212884e-07
0.68	0.000322004827145284	5.90914853104696e-07
0.72	0.000285491954272743	5.53452312423985e-07
0.76	0.000251746496982064	5.18146841044231e-07
0.8	0.000220591919593727	4.84881870821408e-07
0.84	0.000191861889360212	4.53546849132902e-07
0.88	0.000165399723689286	4.24036950275042e-07
0.92	0.000141057865989669	3.96252780754391e-07
0.96	0.000118697388681643	3.70100108337823e-07
1	9.81875220252282e-05	3.45489605091398e-07
1.04	7.94052074625795e-05	3.22336603963969e-07
1.08	6.2234674259809e-05	3.00560858701449e-07
1.12	4.65670382585603e-05	2.80086322801409e-07
1.16	3.22999216305631e-05	2.60840939292351e-07
1.2	1.93370925823944e-05	2.42756435231417e-07
1.24	7.58812398349296e-06	2.25768142347871e-07
1.28	3.03193000461555e-06	2.09814798313168e-07
1.32	1.26028402496203e-05	1.94838380707107e-07
1.36	2.11994927631909e-05	1.80783946007734e-07
1.4	2.8892163433214e-05	1.67599465195067e-07
1.44	3.57467781707255e-05	1.55235690607602e-07
1.48	4.18251591834395e-05	1.43645987882302e-07
1.52	4.71852581352128e-05	1.32786229234405e-07
1.56	5.1881376807672e-05	1.22614646019814e-07
1.6	5.59643759439066e-05	1.13091714493141e-07
1.64	5.94818728678614e-05	1.04180045312763e-07
1.68	6.24784284459223e-05	9.58442661069814e-08
1.72	6.4995723959016e-05	8.8050925439731e-08
1.76	6.70727283805239e-05	8.07683761538946e-08
1.8	6.87458565949983e-05	7.39666984467258e-08
1.84	7.00491189971064e-05	6.76176190247957e-08
1.88	7.10142628985722e-05	6.16943949399706e-08
1.92	7.16709062284493e-05	5.61717532210348e-08
1.96	7.20466638903239e-05	5.10258261025853e-08
2	7.21672671358253e-05	4.62340473776172e-08
2.04	7.20566763815489e-05	4.1775105466893e-08
2.08	7.17371877687056e-05	3.76288816286707e-08
2.12	7.12295337844115e-05	3.37763601532259e-08
2.16	7.0552978314764e-05	3.01996014584471e-08
2.2	6.97254063577457e-05	2.68816705839559e-08
2.24	6.87634087105926e-05	2.38065791385855e-08
2.28	6.76823619055189e-05	2.09592463662478e-08
2.32	6.64965036213383e-05	1.83254419139356e-08
2.36	6.52190038352707e-05	1.5891750457242e-08
2.4	6.38620319152738e-05	1.36455114013723e-08
2.44	6.24368199079184e-05	1.15747965934165e-08
2.48	6.09537221884504e-05	9.66836549709527e-09
2.52	5.94222716770454e-05	7.91561259594342e-09
2.56	5.78512328421321e-05	6.30656335487423e-09
2.6	5.6248651599089e-05	4.83181410160238e-09
2.64	5.46219023285499e-05	3.48250969728348e-09
2.68	5.29777321483516e-05	2.2503165442167e-09
2.72	5.1322302584228e-05	1.12738854363137e-09
2.76	4.96612287975706e-05	1.06352704420942e-10
2.8	4.79996164712004e-05	8.19740803015279e-10
2.84	4.63420965365335e-05	1.65741478874715e-09
2.88	4.46928577994554e-05	2.41280562196522e-09
2.92	4.3055677625331e-05	3.09167849654735e-09
2.96	4.14339507674999e-05	3.69945116207582e-09
3	3.98307164544143e-05	4.24121104902753e-09
3.04	3.8248683825598e-05	4.72173414256538e-09
3.08	3.66902558125715e-05	5.14549980401569e-09
3.12	3.51575515447067e-05	5.51671208715021e-09
3.16	3.36524273713001e-05	5.83931614173139e-09
3.2	3.21764965783844e-05	6.11700898267564e-09
3.24	3.07311478701389e-05	6.35325050901692e-09
3.28	2.9317562679626e-05	6.55128151727524e-09
3.32	2.79367313822665e-05	6.71414027153538e-09
3.36	2.65894684792489e-05	6.84467130196431e-09
3.4	2.52764268115213e-05	6.94552568236695e-09
3.44	2.39981108310916e-05	7.01919017354058e-09
3.48	2.27548890293638e-05	7.06798639060757e-09
3.52	2.15470055402456e-05	7.09408121135624e-09
3.56	2.03745909773123e-05	7.09949232735596e-09
3.6	1.92376725365317e-05	7.08611136435167e-09
3.64	1.81361834387384e-05	7.05569536130213e-09
3.68	1.70699717177425e-05	7.0098798155005e-09
3.72	1.6038808405533e-05	6.95019083951642e-09
3.76	1.50423951584822e-05	6.87804657673041e-09
3.8	1.40803713475912e-05	6.794764056961e-09
3.84	1.31523206469419e-05	6.70156741211514e-09
3.88	1.2257777153829e-05	6.59959323301429e-09
3.92	1.13962310705484e-05	6.48989229024011e-09
3.96	1.056713396419e-05	6.37344110820948e-09
4	9.76990364573438e-06	6.25114182639663e-09
