# Valores del error obtenidos para distintos valores de h en el punto x = 0.5

# h	error h2	error h4
0.04	0.000525857247102135	7.8964613625665e-07
0.048	0.000757359487584042	1.63772742378665e-06
0.056	0.00103105158714784	3.03478684032799e-06
0.064	0.00134698283532969	5.17857988091563e-06
0.072	0.00170521011868846	8.29756672976467e-06
0.08	0.00210579792681725	1.26510327910778e-05
0.088	0.00254881835915599	1.8529225430719e-05
0.096	0.00303435113260764	2.62535069754377e-05
0.104	0.00356248358996009	3.61765240266543e-05
0.112	0.00413331070911244	4.86823931553082e-05
0.12	0.00474693511310548	6.41869030473252e-05
